Name,Count
Wrenley,"1,654"
Gemma,"1,649"
Ada,"1,647"
Alani,"1,647"
Callie,"1,646"
Kaylee,"1,641"
Olive,"1,640"
Rosalie,"1,640"
Myla,"1,638"
Alana,"1,614"
Ariella,"1,613"
Kaia,"1,608"
Ruth,"1,594"
Arianna,"1,587"
Sara,"1,587"
Jasmine,"1,585"
Phoebe,"1,580"
Adaline,"1,578"
River,"1,577"
Hallie,"1,553"
Adalyn,"1,538"
Wren,"1,537"
Presley,"1,517"
Lilah,"1,493"
Alora,"1,488"
Amy,"1,483"
Norah,"1,479"
Annie,"1,477"
Zuri,"1,471"
Alexandra,"1,467"
Sutton,"1,456"
Noelle,"1,451"
Kylie,"1,439"
Molly,"1,430"
Lia,"1,425"
Journee,"1,423"
Leia,"1,421"
Evangeline,"1,407"
Lila,"1,395"
Aspen,"1,387"
Saylor,"1,387"
Khloe,"1,381"
Aitana,"1,364"
Alaina,"1,356"
Haven,"1,353"
Aliyah,"1,346"
Blake,"1,346"
Kimberly,"1,329"
Vera,"1,328"
Ana,"1,327"
Kailani,"1,315"
Tatum,"1,314"
Arabella,"1,313"
Diana,"1,307"
Selena,"1,304"
Kiara,"1,302"
Harmony,"1,297"
Lilith,"1,294"
Rowan,"1,285"
Delaney,"1,283"
Vivienne,"1,283"
Zara,"1,282"
Collins,"1,269"
Harlow,"1,266"
Blair,"1,263"
Leila,"1,263"
Daphne,"1,257"
Faith,"1,256"
Lennon,"1,255"
Stevie,"1,252"
Mariana,"1,249"
Kaylani,"1,246"
Morgan,"1,245"
Juliana,"1,240"
Gracie,"1,237"
Nyla,"1,236"
Miriam,"1,234"
Daniela,"1,230"
Dahlia,"1,219"
Brynlee,"1,210"
Rachel,"1,209"
Angela,"1,205"
Lilly,"1,194"
Kamila,"1,192"
Samara,"1,190"
Ryleigh,"1,186"
Taylor,"1,185"
Dakota,"1,183"
Lola,"1,183"
Talia,"1,181"
Evie,"1,170"
Jordyn,"1,170"
Ophelia,"1,166"
Camille,"1,158"
Gia,"1,155"
Milani,"1,154"
Lena,"1,149"
Elaina,"1,147"
Malia,"1,144"
Elise,"1,142"
Celeste,"1,133"
Londyn,"1,131"
Palmer,"1,129"
Mabel,"1,125"
Octavia,"1,123"
Sawyer,"1,120"
Jane,"1,108"
Finley,"1,106"
Marley,"1,104"
Adelaide,"1,103"
Lucille,"1,102"
Shiloh,"1,099"
Antonella,"1,092"
Ariel,"1,092"
Poppy,"1,072"
Kali,"1,066"
Elianna,"1,065"
Juliet,"1,061"
Maisie,"1,059"
Cataleya,"1,054"
Danna,"1,052"
Aubree,"1,044"
Gabriela,"1,041"
Noa,"1,041"
Brooke,"1,032"
Celine,"1,026"
Alessia,"1,021"
Hope,"1,011"
Selah,"1,010"
Vanessa,"1,010"
Rory,"1,005"
Sydney,"1,001"
Amari,997
Teagan,996
Adriana,995
Payton,990
Rosemary,986
Laila,985
London,984
Angelina,982
Alayna,978
Kendall,978
Rebecca,977
Maggie,974
Adelyn,972
Evelynn,971
Thea,970
